iter,model,chain,manipulation, manipulation_level, parameter,utt,emo,value,prob,score
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,state,good,smile,1,0.01582150969422006,19.02899148074631
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,state,good,smile,2,0.0314936720867096,19.02899148074631
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,state,good,smile,3,0.18138977076532115,19.02899148074631
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,state,good,smile,4,0.29253710484646955,19.02899148074631
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,state,good,smile,5,0.2751796639223554,19.02899148074631
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,state,good,smile,6,0.20357827868492434,19.02899148074631
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,socGoal,good,smile,1,0.20329902962190732,19.02899148074631
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,socGoal,good,smile,2,0.24747853573514872,19.02899148074631
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,socGoal,good,smile,3,0.270801089171744,19.02899148074631
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,socGoal,good,smile,4,0.27842134547119995,19.02899148074631
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,infGoal,good,smile,1,0.26776325227424724,19.02899148074631
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,infGoal,good,smile,2,0.2598358006286165,19.02899148074631
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,infGoal,good,smile,3,0.24738221748622916,19.02899148074631
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,infGoal,good,smile,4,0.22501872961090696,19.02899148074631
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,emoComm,good,smile,true,0.522507920383252,19.02899148074631
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,state,bad,smile,1,0.0076024650423975665,19.02899148074631
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,state,bad,smile,2,0.20386833247434089,19.02899148074631
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,state,bad,smile,3,0.7334827870462203,19.02899148074631
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,state,bad,smile,4,0.02501437463177169,19.02899148074631
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,state,bad,smile,5,0.02257254403094769,19.02899148074631
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,state,bad,smile,6,0.007459496774321987,19.02899148074631
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,socGoal,bad,smile,1,0.6195017887461859,19.02899148074631
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,socGoal,bad,smile,2,0.25451748505999994,19.02899148074631
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,socGoal,bad,smile,3,0.06298574860945415,19.02899148074631
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,socGoal,bad,smile,4,0.06299497758436,19.02899148074631
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,infGoal,bad,smile,1,0.13078669440616375,19.02899148074631
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,infGoal,bad,smile,2,0.1763963774752,19.02899148074631
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,infGoal,bad,smile,3,0.2503333434348488,19.02899148074631
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,infGoal,bad,smile,4,0.4424835846837875,19.02899148074631
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,emoComm,bad,smile,true,0.591277815311453,19.02899148074631
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,state,good,frown,1,0.30675297139972185,19.02899148074631
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,state,good,frown,2,0.6001255194846625,19.02899148074631
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,state,good,frown,3,0.05814752092684646,19.02899148074631
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,state,good,frown,4,0.012399154138911734,19.02899148074631
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,state,good,frown,5,0.011474005085115549,19.02899148074631
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,state,good,frown,6,0.011100828964741903,19.02899148074631
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,socGoal,good,frown,1,0.14842728242475506,19.02899148074631
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,socGoal,good,frown,2,0.14694878376470616,19.02899148074631
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,socGoal,good,frown,3,0.28357244957238803,19.02899148074631
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,socGoal,good,frown,4,0.4210514842381507,19.02899148074631
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,infGoal,good,frown,1,0.5582996166092905,19.02899148074631
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,infGoal,good,frown,2,0.29348776713249036,19.02899148074631
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,infGoal,good,frown,3,0.14390445446336836,19.02899148074631
0,Mb7_UttBalEmoTruBal,1,state_manipulation,good,infGoal,good,frown,4,0.004308161794850671,19.02899148074631
